Sl No,Stock,Market Cap,ROE Ann  %,Industry ROE,Industry ROCE,Industry ROA,Industry PBV TTM,Industry PEG TTM,Industry PE TTM,Industry Score,Industry Market Cap ,Sector Market Cap ,Sector Score,Sector PE TTM,Sector PEG TTM,Sector PBV TTM,Sector ROE,Sector ROCE,Sector ROA,ROCE Ann  %,ROCE Ann  3Y Avg %,ROCE Ann  5Y Avg %,ROCE Ann  1Y Ago %,LT Debt To Equity Ann ,LT Debt To Equity Ann  1Y Ago,Total Debt to Total Equity Ann ,Interest Ann ,Interest Ann  1Y Ago,Interest Ann  2Y Ago,Interest Ann  3Y Ago,Interest Ann  4Y Ago,Interest Ann  5Y Ago,Interest TTM,Interest Coverage Ratio Ann ,Interest Coverage Ratio Ann  1Y Ago,Interest Coverage Post Tax Ann  %,FC Est  1Q fwd Interest Expense Qtr,NSE Code,BSE Code,ISIN,Gross NPA ratio Qtr %,Gross NPA ratio 4Q Ago %,Gross NPA ratio 8Q Ago %,Gross NPA Ratio Qtr 1Q ago %,Gross NPA ratio % Qtr QoQ change,Rev  Gross From Operations Ann ,Rev  Net From Operations Ann ,Capital Adequacy Ratios Ann  %,Profit From Continuing Operations Ann ,Working Capital Turnover Ann ,Operating Rev  growth TTM %,ROE Ann  %,ROE Ann  1Y Ago %,ROE Ann  2Y Ago %,ROE Ann  3Y Ago %,ROE Ann  4Yr Ago %,ROE Ann  5Y Ago %,ROCE Ann  %,ROCE Ann  1Y Ago %,RoA Ann  %,RoA Ann  1Y Ago %,RoA Ann  2Y Ago %,RoA Ann  3Y Ago %,RoA Ann  4Yr Ago %,RoA Ann  5Y Ago %,EPS TTM Growth %,Interest Coverage Ratio Ann ,OPM Ann  %,NPM Ann  %,Net Profit Per Share Ann ,Interest Coverage Post Tax Ann  %,Cash Flow Return on Assets Ann ,Cash Flow Return on Assets Ann  1Y ago,Current Ratio Ann ,Book Value Inc Reval Reserve Ann ,Promoter holding latest %,Promoter holding change QoQ %,Promoter holding change 1Y %,Promoter holding change 2Y %,Promoter holding pledge percentage % Qtr,Promoter pledge change QoQ %,Basic EPS TTM 1Y Ago,Basic EPS TTM,Basic EPS Qtr,Basic EPS 1Q Ago,Basic EPS 2Q Ago,Basic EPS 3Q Ago,Basic EPS 4Q Ago,Basic EPS Ann  5Y Ago,Basic EPS Ann  4Y Ago,Basic EPS Ann  3Y Ago,Basic EPS Ann  2Y Ago,Basic EPS Ann  1Y Ago,Basic EPS Ann ,EPS Ann ,Cash EPS Ann ,Cash EPS Ann  1Y Ago,Cash EPS 1Y Growth %,Cash EPS 3Y Growth %,Cash EPS 5Y Growth %,EPS TTM Growth %,EPS Qtr YoY Growth %,Basic EPS QoQ Growth %,Cash EPS Ann  3Y ago,Cash EPS Ann  5Y ago,FC Est  1Q fwd EPS Qtr,FC Est  1Q fwd Cash EPS Qtr,Price To Sales Ann ,Market Cap Per Sales Ann ,EV Per Net Sales Ann ,Graham Ratio,Price to Cashflow from Operations,Price to Sales TTM,Operating Profit 6Qtr Ago,Operating Profit 7Qtr Ago,Operating Profit Qtr,Operating Profit 1Q Ago,Operating Profit 2Q Ago,Operating Profit 3Q Ago,Operating Profit 4Q Ago,Operating Profit Ann  3Y Ago,Operating Profit Ann  4Y ago,Operating Profit Ann  5Y Ago,Operating Profit Ann ,Operating Profit Ann  1Y Ago,Operating Profit Ann  2Y ago,Operating Profit Margin Qtr %,OPM 1Q ago %,OPM Qtr 4Qtr ago %,Net Profit Qtr,Net Profit 1Q Ago,Net Profit 2Q Ago,Net Profit 3Q Ago,Net Profit 4Q Ago,Net Profit 5Q Ago,Net Profit 6Q Ago,Net Profit 7Q Ago,Net Profit 8Q Ago,Reported PAT Qtr,Net Profit Ann ,Net Profit Ann  1Y Ago,Net Profit Ann  2Y ago,Net Profit Ann  3Y Ago,Net Profit Ann  4Y Ago,Net Profit Ann  5Y Ago,Operating Profit Growth Qtr YoY %,Operating Profit TTM 1Y Ago,Operating Profit TTM,Profit Before Tax Qtr,PBT 1Q Ago,PBT 4Q Ago,PBT Ann ,PBT Ann  1Y Ago,Total Profit Loss Ann ,OPM Qtr YoY Chg %,OPM Ann  %,OPM Ann  1Y ago %,NPM 4Q ago %,NPM 1Q ago %,NPM Qtr %,NPM Ann  1Y ago %,NPM TTM %,Net Profit TTM 5Q Ago,Net Profit TTM 4Q Ago,Net Profit TTM 3Q Ago,OPM Qtr 4Qtr ago %,OPM 1Q ago %,Operating Profit Margin Qtr %,OPM Qtr YoY Chg %,OPM Ann  %,OPM Ann  1Y ago %,OPM TTM %,PEG TTM,EBITDA Qtr,EBITDA 1Q Ago,EBITDA 2Q Ago,EBITDA 3Q Ago,EBITDA 4Q Ago,EBITDA Ann  1Y Ago,EBITDA Ann ,EBITDA TTM,EBITDA Ann  margin %,EBITDA Qtr YoY Growth %,EBITDA Qtr growth YoY %,EBITDA Ann  Margin %,EBIT Ann  Margin %,EV Per EBITDA Ann ,FC Est  1Q forward EBIT Qtr,FC Est  1Q fwd EBITDA Qtr,Altman Zscore,Tobin Q Ratio,Piotroski Score,Graham No ,Valuation Score,Prev Month TL Valuation Score,Durability Score,Prev Month TL Durability Score,Prev Week TL Durability Score,Prev Week TL Valuation Score,Momentum Score,Norm  Momentum Score,Prev Week TL Momentum Score,Prev Month TL Momentum Score,SWOT Strengths,SWOT Weakness,SWOT Threats,SWOT Opportunities,TL Checklist Positive Score,TL Checklist Negative Score
24,Bharat Electronics,300212.62,26.64,23.9,25.13,9.53,10.59,2.34,46.69,52.45,837454.96,2678725.38,50.78,49.83,3.47,12.05,20.49,24.18,10.59,33.72,30.08,27.13,30.13,0,0,0,9.68,7.14,14.95,5.05,6.37,3.6,10.27,782.65,800.64,547.19,1.3,BEL,500049,INE263A01024,0,0,0,0,0,23117.3,23117.3,,5287.15,1.62,16.58,26.64,24.4,21.53,19.52,18.97,18.1,33.72,30.13,13.03,10.08,8.4,7.07,7.11,7.49,25.45,782.65,,21.71,7.23,547.19,0.01,0.12,1.76,27.32,51.14,0,0,0,0,0,6.21,7.79,1.76,1.33,2.91,1.79,1.5,7.49,8.62,9.85,4.09,5.45,7.28,7.28,7.87,6,31.19,-30.39,-11.38,25.45,17.33,32.33,11.31,8.88,1.93,,9.26,9.26,8.86,5.71,511.77,11.94,2287.23,1072.5,1702.17,1238.27,2816.06,1669.49,1399.95,3340.88,3210.51,2754.46,6833.7,5046.41,4085.88,29.39,27.89,30.4,1287.77,969.91,2127.04,1310.95,1092.45,791,1797.11,859.58,789.35,1278.42,5321.44,3984.52,2984.42,2398.87,2098.94,1823.85,21.59,5707.88,7425.99,1727.95,1279.36,1445.2,7099,5266.21,,-1.01,27.88,24.1,23.72,21.85,22.23,19.03,22.64,4237.04,4540.14,4991.51,30.4,27.89,29.39,-1.01,,24.1,29.52,2.07,1856.09,1401.59,3010.7,1855.87,1557.71,5716.55,7576.06,8124.25,30.91,19.16,19.16,31.87,29.9,27.8,,1884.48,10.49,15.03,8,71.92,25,25.5,75,75,75,25,55.88,62.79,63.4,53.42,24,7,1,6,16,7
25,Hindustan Zinc,295223.04,77.69,72.63,60.51,28.36,20.25,0.96,25.36,65.72,324335.17,2496749.88,59.57,24.25,5.93,6.2,24.76,23.36,10.3,63.24,66.27,53.08,48.85,0.45,0.28,0.8,1095,955,333,290,386,,945,16.78,15.42,10.53,240,HINDZINC,500188,INE267A01025,0,0,0,0,0,33041,33041,,10353,82.12,11.81,77.69,51.06,81.27,28.08,24.69,,63.24,48.85,30.01,22.89,29.63,21.55,17.45,,25.71,16.78,,29.52,24.5,10.53,0.41,0.39,1.04,31.54,61.84,0,-1.58,-3.08,9.27,0,22.22,27.93,9.27,6.27,5.29,7.11,6.34,,18.89,22.79,24.88,18.36,24.5,24.5,33.12,26.57,24.64,11.53,,25.71,46.21,47.85,29.69,,,,5.73,5.73,6.03,4.89,20.85,8.11,3946,3649,6054,4445,3859,4820,4499,16225,11672,0,17388,13656,17506,55.14,51.99,52.23,3916,2649,2234,3003,2678,2327,2345,2038,2028,3916,10353,7759,10511,9629,7980,,34.56,16217,19178,5230,3542,3527,13553,10307,,2.91,49.59,45.51,31.09,30.99,35.66,25.86,32.43,8738,9388,10353,52.23,51.99,55.14,2.91,,45.51,52.71,0.97,6372,4683,4138,5047,4717,14730,18371,20240,52.39,35.09,35.09,53.9,43.22,11.2,,6630,11.68,22.13,7,142.74,38.67,39.83,75,85,85,38.83,71.99,80.9,64.39,67.87,29,6,0,6,16,7
26,Hindustan Aeronautics,287954.45,23.91,23.9,25.13,9.53,10.59,2.34,46.69,52.45,837454.96,2678725.38,50.78,49.83,3.47,12.05,20.49,24.18,10.59,17.41,19.98,18.58,24.49,0,0,0,8.68,32.11,57.97,58.2,259.17,348.46,9.18,1402.05,362.43,959.24,,HAL,541154,INE066F01020,0,0,0,0,0,30104.69,30104.69,,8323.4,0.73,3.05,23.91,26.15,24.72,26.3,21.01,21.7,17.41,24.49,7.87,9.75,8.67,8.69,6.23,5.39,-0.57,1402.05,,24.94,124.46,959.24,0.13,0.11,2.04,523.07,71.64,0,0,0,0,0,127.36,126.64,24.96,20.69,59.46,21.53,22.59,85.92,96.87,151.92,174.28,113.95,125.07,125.07,144.5,134.6,7.36,-24.11,25.03,-0.57,10.49,20.64,190.41,115.57,25.03,,9.01,9.01,7.78,3.42,21.11,8.97,5901.26,1435.33,1557.89,1282.4,5294.9,1682.51,1639.96,5584.99,5349.38,4896.12,9608.08,9741.06,7276.58,23.5,26.61,27.44,1669.07,1383.77,3976.66,1439.83,1510.48,1437.16,4308.71,1261.4,1236.7,1661.71,8364.13,7621.05,5827.74,5080.04,3239.46,2873.17,-5,9967.26,9817.7,2219.64,1844.03,2010.67,10826.61,10198.38,,-3.94,28.64,30.18,25.27,28.71,25.18,23.61,26.38,8243.97,8517.75,8696.18,27.44,26.61,23.5,-3.94,,30.18,30.58,-59.81,2445.56,2029.49,5946.43,2313.91,2188.26,11637.66,12169.77,12735.39,36.28,11.76,11.76,39.28,34.95,19.81,1562.3,1897.63,3.72,8.23,6,1257.49,31.67,31.83,65,65,65,31.33,32.43,36.44,51.41,47.91,9,7,1,6,9,14
27,JSW Steel,286118.12,4.4,6.51,10.67,3.21,2.89,2.42,31.98,58.25,949274.53,2496749.88,59.57,24.25,5.93,6.2,24.76,23.36,10.3,7.93,9.83,13.92,12.99,1.03,0.87,1.21,8412,8105,6902,4968,3957,4265,9028,2.81,3.61,1.51,2220,JSWSTEEL,500228,INE019A01038,0,0,0,0,0,166575,166575,,3802,16.77,5.19,4.4,11.34,6.3,30.7,16.91,11.01,7.93,12.99,1.45,3.86,1.96,10.51,5.33,3.05,125.73,2.81,,2.07,12.47,1.51,0.09,0.05,1.17,260.64,45.32,0,0.47,0.51,11.7,-0.77,13.49,30.46,8.76,6.66,8.95,6.15,2.94,16.67,32.73,85.49,17.14,36.34,14.36,14.32,42.99,56.78,-24.29,-50.28,56.74,125.73,197.96,31.53,86.45,27.43,8.85,,1.92,1.92,2.42,2.71,13.69,1.6,5510,6124,6496,7115,7576,6378,5579,39007,20141,11873,22904,28236,18547,14.12,15.76,13.48,2139,1623,2184,1503,717,439,845,1299,2415,2527,3504,8812,4144,20665,7911,4030,16.44,22650,27565,1574,2432,1172,5388,13552,,0.64,13.51,16.04,1.73,3.59,4.65,5.01,4.16,4998,3300,3504,13.48,15.76,14.12,0.64,,16.04,15.39,0.31,6240,7399,7926,6564,5623,29240,23598,28129,13.92,10.97,10.97,13.97,8.46,17.33,,8680,2.28,4.5,5,431.53,50.17,41.67,60,55,55,40,57.19,64.27,62.74,47.71,21,6,1,7,13,10
28,Adani Ports,282632.57,17.81,16.64,14.14,7.9,4.72,1.14,28.19,57.55,410433.19,780145.32,52.67,34.68,1.66,8.75,30.65,14.33,7.72,13.94,12,11.69,13.15,0.57,0.71,0.73,2812.67,2845.76,2362.64,2540.58,2255.29,1813.14,3707.24,7.23,6.1,4.97,879.8,ADANIPORTS,532921,INE742F01042,0,0,0,0,0,30475.33,30475.33,,10919.7,-15.86,22.16,17.81,15.36,11.69,12.41,16.4,14.78,13.94,13.15,8.19,6.82,4.62,4.98,6.61,6.04,21.95,7.23,,34.25,50.55,4.97,0.13,0.13,0.9,288.26,68.02,2.13,2.13,2.13,0,0,45.39,55.36,14.39,15.34,13.95,11.67,11.32,18.35,24.58,22.39,24.58,37.55,51.35,51.35,70.82,56.27,25.87,103.76,163.1,21.95,27.12,-6.19,34.76,26.92,15.24,,8.22,8.22,9.56,2.1,16.41,8.13,4043.85,4293.2,5550.27,5495.33,5005.96,4802.06,4368.87,8878.93,8698.68,5939.01,19024.64,15863.92,10947.13,60.54,60.22,61.82,3109.05,3314.59,3014.22,2520.26,2445,3112.83,2039.66,2208.41,1747.85,3330.39,11092.31,8110.64,5310.18,4728.09,4994.3,3763.13,27.04,17553.67,20853.62,3900.47,3690.3,2886.64,12888.06,10255.42,,-1.28,58.75,56.24,34.6,36.32,33.91,28.75,34.42,9108.75,9805.9,10117.75,61.82,60.22,60.54,-1.28,,56.24,60.02,1.08,6386.87,5791.37,5262.74,4997.56,4622.45,17363.34,20329.12,22438.54,62.78,38.17,38.17,65.41,51.32,14.61,4292.42,5599.92,3.22,4.54,7,621.91,39.5,38.83,80,75,75,38.83,45.48,51.11,46.85,57.19,20,7,3,7,14,9
29,Vedanta,267529.2,36.36,26.28,22.89,8.75,4.3,1.95,17.09,69.97,555440.91,2496749.88,59.57,24.25,5.93,6.2,24.76,23.36,10.3,26.92,25.22,24.58,24.09,1.28,1.65,1.79,9914,9465,6225,4797,5210,4977,9161,4.64,3.99,2.88,1910,VEDL,500295,INE205A01025,0,0,0,0,0,150725,150725,,20534,-7.18,8.87,36.36,13.79,26.82,28.75,18.62,-12.19,26.92,24.09,7.37,2.22,5.38,9.46,6.24,-3.62,5.93,4.64,,9.57,52.52,2.88,0.19,0.19,0.7,105.4,56.38,0,0,-7.33,0,0,29,30.72,4.61,8.15,8.92,9.09,11.26,-18,31.13,50.73,28.5,11.42,38.97,38.65,80.9,49.09,64.8,-7.7,591.8,5.93,-59.06,-43.44,87.65,11.69,15.1,,1.19,1.19,1.7,2.57,6.76,1.7,8768,8531,11397,9918,11466,11104,9828,44824,27318,20687,42343,35198,34422,28.59,26.22,26.11,1798,3185,3483,3547,4352,3606,1369,2013,-1783,3480,14988,4239,10574,18802,11602,-6664,15.96,37072,43885,4948,6053,7633,26876,20363,,2.47,27.03,24.06,11.56,8.42,4.51,2.9,7.64,5205,11340,12874,26.11,26.22,28.59,2.47,,24.06,27.91,3.75,9926,10903,12227,11784,12996,37748,46018,44840,29.38,-23.62,-23.62,30.08,22.82,5.65,11097.2,14414.5,2.38,6.49,8,266.4,47.17,50,75,75,75,47.67,70.35,79.05,70.09,67.53,24,6,2,2,16,7
30,Bajaj Auto,263105.25,20.81,22.72,25.41,12.76,10.38,1.83,39.02,55.28,770865.62,3452377.03,48.5,34.37,2.94,7.15,18.59,20.67,9.43,27.05,28.05,25.2,32.5,0.17,0.02,0.26,388.9,60.36,39.51,8.66,6.66,3.16,777.33,30.71,168.95,22.73,14.3,BAJAJ-AUTO,532977,INE917I01010,0,0,0,0,0,49266.95,49266.95,,8240.21,6.67,11.83,20.81,26.61,20.63,20.64,17.8,24.06,27.05,32.5,13.51,19.59,17.24,17.56,14.45,19.66,13.01,30.71,,13.96,295.07,22.73,-0.03,0.17,1.68,1260.07,54.99,-0.05,-0.05,0.05,0.01,0,263.73,298.03,76,79.2,64.6,78.7,49.7,180.2,167.9,213.2,212.5,272.7,262.4,262,309.91,279.58,10.85,53.14,74.58,13.01,52.92,-4.04,202.37,177.52,88.54,,4.31,4.31,4.44,3.29,-187.19,4.81,2284.26,2414.9,3463.16,2792.94,2692.93,2750.83,2653.53,5249.92,4924.68,5095.64,10467.73,8761.56,6450.53,22.01,21.27,20.03,2122.03,2210.44,1801.85,2195.65,1385.44,1941.79,2011.43,2032.62,2020.05,2756.5,7324.73,7708.24,6060.21,6165.87,4857.02,5211.91,30.51,9723.13,11699.86,3633.13,2960.65,2879.39,10927.75,9772.45,,1.98,19.95,18.92,10.46,16.83,13.49,16.65,15.23,8005.89,7371.28,7534.31,20.03,21.27,22.01,1.98,,18.92,21.4,2.43,4038.96,3301.92,3085.16,3098.36,3052.86,10197.58,11942.14,13524.4,22.76,32.3,32.3,23.41,22.6,18.95,3035.47,3114.01,10.37,7.48,4,2864.46,28.5,29.17,50,55,55,28.5,58.66,65.92,58.29,67.41,16,5,1,9,11,12
31,Asian Paints,259338.31,18.9,19.27,24.51,12.36,11.6,1.7,59.13,47.9,358431.17,1342961.43,45.88,47.95,4,9.1,20.73,24.95,10.81,24.97,30.64,30.1,34.63,0.01,0,0.04,227.02,205.17,144.45,95.41,91.63,102.33,197,28.98,40.32,18.32,44.55,ASIANPAINT,500820,INE021A01026,0,0,0,0,0,33797.36,33797.36,,3569,3.9,-1.3,18.9,29.15,25.67,21.94,24.51,26.7,24.97,34.63,12.07,18.24,15.91,13.18,15.41,16.74,-14.73,28.98,,10.64,37.21,18.32,0.15,0.2,2.09,202.25,52.63,0,0,0,8.6,-0.49,47.63,40.62,10.37,11.47,7.22,11.58,7.25,28.2,32.73,31.59,42.83,56.94,38.25,38.25,47.91,65.45,-26.8,18.75,31.15,-14.73,43.03,-9.59,40.34,36.53,12.42,,6.61,6.61,6.64,6.26,58.62,7.54,1691.37,2056.09,1503.38,1624.97,1436.2,1636.73,1239.51,4803.61,4855.6,4161.77,6006.21,7584.98,6259.84,17.62,18.18,15.44,993.59,1099.77,692.13,1110.48,694.64,1169.98,1256.72,1447.72,1205.42,979.93,3667.23,5460.23,4106.45,3030.57,3139.29,2705.17,21.29,6680.74,6201.28,1353.22,1472.39,927.92,4962.36,7214.77,,2.18,17.42,20.96,8.65,12.3,11.65,15.09,11.33,5079.84,4569.06,4231.82,15.44,18.18,17.62,2.18,,20.96,18.04,-4.52,1702.02,1817.76,1353.09,1779.73,1232.92,8272.94,6578.82,6652.6,19.08,38.05,38.05,19.4,16.37,34.2,1459.41,1759.79,16.46,13.37,5,431.9,25.17,25.17,55,55,55,25,47.87,53.79,56.71,60.35,13,10,1,4,10,13
32,Coal India,257848.55,35.67,28.7,24.11,13.4,4.04,0.89,14.22,46.84,467570.42,2496749.88,59.57,24.25,5.93,6.2,24.76,23.36,10.3,24.24,26.43,23.18,27.89,0.07,0.07,0.09,883.65,819.37,684.31,541.49,644.69,502.92,1018.66,63.98,68.27,40.43,320,COALINDIA,533278,INE522F01014,0,0,0,0,0,191356.71,126956.76,,34839.84,4.86,-0.76,35.67,45.21,49.2,40.23,34.77,51.97,24.24,27.89,13.58,15.73,13.33,9.63,7.85,11.11,-13.46,63.98,,23.13,56.53,40.43,0.11,0.08,1.49,160.81,63.13,0,0,0,0,0,58.51,50.64,7.07,14.19,15.58,13.8,10.21,27.12,20.61,28.17,45.7,60.69,57.37,57.37,71.37,70.87,0.71,101.62,118.27,-13.46,-30.75,-50.18,35.4,32.7,11.53,,1.71,1.71,1.54,0.95,8.83,1.85,11337.6,13020.69,6716.15,12521.42,11790.15,12317.24,8617.09,24690.51,18573.44,21920.85,47063.01,47971.49,36817.87,22.25,34.93,28.09,4354.28,8743.38,9604.02,8505.57,6289.1,10959.47,8682.2,10130.18,6799.77,4053.36,35358.16,37402.29,28165.19,17358.1,12699.89,16714.19,-22.06,47313.91,43344.96,5905.3,11564.93,8016.23,46503.93,48385.78,,-5.84,30.79,31.92,20.5,24.39,14.42,24.89,22.35,36571.62,36060.95,34436.34,28.09,34.93,22.25,-5.84,,31.92,31.04,-0.61,8856.61,14137.28,15727.37,14460.44,10122.13,55940.57,56533.07,53181.7,36.99,-12.5,-12.5,39.43,33.05,3.91,5456.05,9949.81,2.4,2.6,3,441.36,47.67,48.33,45,45,45,47.17,57.59,64.72,63.86,49.61,14,9,1,1,13,10
33,Adani Power,256409.3,24.27,16.69,13.07,6.02,2.93,2.79,21.54,52.84,1328401.82,2244223.46,45.39,21.1,3.32,4.64,14.66,12.29,5.71,20.41,22.72,19.38,31.59,0.51,0.74,0.71,3339.79,3388.09,3333.5,4094.78,5106.33,5314.82,3419.99,7.19,8.3,4.82,996.8,ADANIPOWER,533096,INE814H01029,0,0,0,0,0,56131.82,56131.82,,12749.61,5.96,1.51,24.27,58.53,65.35,89.48,255.22,0,20.41,31.59,11.45,22.56,12.49,5.99,1.61,-3.03,-5.41,7.19,,21.97,33.06,4.82,0.19,0.15,1.6,138.17,74.96,0,0,3.21,1.81,0,6.6,6.24,1.53,8.62,6.62,7.67,8.21,-8.19,0.06,9.63,24.57,51.62,32.32,32.32,44.23,64.2,-31.1,112.46,2231.47,-5.41,-81.36,-82.25,20.82,1.9,1.32,,3.49,3.49,4.09,2.04,11.93,4.62,4849.74,4645.34,5150.29,5685.28,4812.63,5022.92,5275.58,9814.16,8668.52,5685.3,21305.44,18180.7,10044.66,38.27,40.29,39.55,2952.78,3384.86,2636.97,3057.21,3331.8,3912.79,2737.24,2737.96,6594.17,2906.46,12938.77,20828.79,10726.64,4911.58,1269.98,-2274.77,-2.37,20964.97,20671.12,3966.2,4204.31,4134.08,16359.51,20791.51,,-1.28,36.17,30.16,24.98,23.99,21.94,34.55,21.69,15982.16,12719.79,13039.04,39.55,40.29,38.27,-1.28,,30.16,37.26,-3.94,6001.24,6149.83,5110.83,6185.18,5999.54,28110.93,24008.18,23447.08,40.76,0.03,0.03,42.71,35.05,9.58,,5244.7,3.88,4.81,5,65.23,38.83,38.5,45,45,45,38.17,46.89,52.69,46.2,58.65,6,14,2,4,10,13
34,Wipro,250014.81,15.94,32.22,39.69,20.11,9.89,10.49,27.65,55.32,3476946.41,3894583.67,53.66,28.1,9.82,9.75,30.68,37.82,19.27,19.03,18.12,19.78,17.86,0.08,0.08,0.2,1477,1255.2,1007.7,532.5,508.8,732.8,1464.3,14.83,15.46,9.93,378.4,WIPRO,507685,INE075A01022,0,0,0,0,0,89088.4,89088.4,,13192.6,1.89,2.36,15.94,14.81,14.61,18.69,19.66,17.57,19.03,17.86,10.24,9.62,9.68,11.37,13.04,11.96,6.97,14.83,,14.13,12.6,9.93,0.13,0.15,2.72,78.65,72.63,-0.02,-0.12,-0.27,0,0,11.82,12.65,2.98,3.1,3.18,3.41,3.21,16.63,19.07,22.31,20.68,20.82,12.56,12.52,15.42,27.83,-44.59,-44.8,-25.67,6.97,-7.17,-3.87,27.94,20.75,3.3,4.03,3.08,3.08,3.13,1.56,14.76,2.75,4354.1,4400.8,4296.4,4372.4,4233.1,4624,4539.8,16684.2,14771.4,12342.3,18021.2,16775.8,16853.6,18.24,19.26,20.34,3119,3246.2,3330.4,3569.6,3353.8,3208.8,3003.2,2834.6,2694.2,3142.2,13135.4,11045.2,11350,12229.6,10796.4,9722.3,-5.36,17798,17525.9,4131.1,4267.2,4452.8,17470.3,14744.3,,-2.1,19.38,18.16,15.03,14.3,13.24,11.95,14.59,11740.8,12400.4,13135.4,20.34,19.26,18.24,-2.1,,18.16,19.28,2.7,5301.7,5320.1,5299.6,5812.3,5543.9,19406.6,21905.2,21733.7,23.56,-4.37,-4.37,24.58,21.26,12.72,4028.5,4808.19,5.02,3.04,6,152.4,43.17,44.17,70,75,70,41.5,44.34,49.83,56.1,55.55,12,9,3,9,13,10
35,Eternal,249654.57,1.73,3.34,5.62,2.14,21.5,1.4,58.3,39.45,605026.89,1174954.21,42.1,74.23,7.42,17.21,12.13,13.32,7.14,2.63,-0.15,-3.08,1.7,0,0,0,154,72,48.7,12,10.08,12.64,316,11.13,12.35,4.42,70,ETERNAL,543320,INE758T01015,0,0,0,0,0,20243,20243,,527,2.55,138.73,1.73,1.71,-4.99,-7.32,-10.63,-517.54,2.63,1.7,1.47,1.5,-4.49,-6.97,-9.33,-81.61,-65.16,11.13,,2.47,0.58,4.42,0.01,0.03,3.52,33.43,0,0,0,0,0,0,0.69,0.24,0.11,0.07,0.03,0.04,0.07,-5.42,-1.51,-1.67,-1.2,0.41,0.6,0.58,1.53,1.01,51.69,209.21,100,-65.16,57.14,57.14,-1.4,-76712.17,0.13,,9.03,9.03,8.85,19.15,810.57,5.82,177,86,368,239,115,72,162,-1850.8,-467.17,-2304.7,637,42,-1210.3,2.26,1.76,3,102,65,25,39,59,176,253,175,138,102,527,351,-971.3,-1208.7,-812.82,-2367.16,127.16,651,794,170,129,124,697,291,,-0.74,2.99,0.32,1.09,0.48,0.63,2.71,0.54,742,663,527,3,1.76,2.26,-0.74,,0.32,1.85,-16.59,716,591,469,440,414,889,1714,2216,8.04,72.95,72.95,8.46,4.2,104.52,-23.11,453.27,29.92,7.74,5,13.51,22.67,21.67,55,50,50,21.33,37.38,42,51.63,54.26,22,11,0,7,11,12
36,Nestle,249485.3,79.98,56.82,49.04,21.71,39.42,5.77,69.77,50.11,508527.72,1675961.3,52.34,56.91,8.66,21.78,36.12,36.7,17.38,57.17,0,0,82.68,0.01,0.01,0.19,136,145.49,,,,,165.4,35.37,41.02,23.41,44.35,NESTLEIND,500790,INE239A01024,0,0,0,0,0,20077.5,20077.5,,3231.54,-21.3,-14.6,79.98,117.71,,,,,57.17,82.68,26.3,37.37,,,,,-25.71,35.37,,15.83,33.52,23.41,0.24,0.4,0.8,41.59,62.76,0,0,0,0,0,20.6,15.3,3.86,6.71,9.06,7.14,9.33,,,,,40.79,33.27,33.27,38.89,46.37,-16.13,,,-25.71,-58.63,-42.47,,,4.08,,10.74,10.74,10.78,14.54,84.96,11.87,2444.3,1095.12,1236.64,1100.26,1388.96,1084.93,1167.73,,,,4751.96,5819.81,0,21.91,21.59,22.88,743.17,646.59,873.46,688.01,899.49,746.6,1670.81,655.61,908.08,753.2,3207.59,3932.84,,,,,5.9,5821.48,4810.79,1028.52,900.47,1204.16,4340.07,5288.87,,-0.97,23.45,23.71,17.62,12.69,13.17,16.03,14.04,3981.1,3972.51,4004.91,22.88,21.59,21.91,-0.97,,23.71,22.88,-3.29,1238.28,1104.3,1397.4,1089.37,1357.98,5967.77,4810.82,4829.35,23.74,-8.81,-8.81,23.81,21.24,45.25,1056.68,1195.44,21.3,62.22,3,88.99,22.5,23.17,45,45,45,22.5,57.08,64.14,65.15,55.83,15,7,0,6,11,12
